C¢digo;Descriá∆o;Data In°cio;Data Fim;Ato Legal In°cio;N£mero;Ano
0301.92.90;Outras;01/04/2022;31/12/9999;Res Camex;272;2021
0301.93;-- Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.);01/04/2022;31/12/9999;Res Camex;272;2021
0301.93.10;Para reproduá∆o;01/04/2022;31/12/9999;Res Camex;272;2021
0301.93.90;Outras;01/04/2022;31/12/9999;Res Camex;272;2021
0301.94;-- Atuns-azuis (atuns) (Thunnus thynnus, Thunnus orientalis);01/04/2022;31/12/9999;Res Camex;272;2021
0301.94.10;Para reproduá∆o;01/04/2022;31/12/9999;Res Camex;272;2021
0301.94.90;Outras;01/04/2022;31/12/9999;Res Camex;272;2021
0301.95;-- Atum-azul do sul (atum) (Thunnus maccoyii);01/04/2022;31/12/9999;Res Camex;272;2021
0301.95.10;Para reproduá∆o;01/04/2022;31/12/9999;Res Camex;272;2021
0301.95.90;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
0301.99;-- Outros;01/04/2022;31/12/9999;Res Camex;272;2021
0301.99.1;Para reproduá∆o;01/04/2022;31/12/9999;Res Camex;272;2021
0301.99.11;"Til†pias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; seus h°bridos)";01/04/2022;31/12/9999;Res Camex;272;2021
0301.99.12;Esturj‰es (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus);01/04/2022;31/12/9999;Res Camex;272;2021
0301.99.19;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
0301.99.9;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
0301.99.91;"Til†pias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; seus h°bridos)";01/04/2022;31/12/9999;Res Camex;272;2021
0301.99.92;Esturj‰es (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus);01/04/2022;31/12/9999;Res Camex;272;2021
0301.99.99;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
03.02;Peixes frescos ou refrigerados, exceto os filÇs (filetes) de peixes e outra carne de peixes da posiá∆o 03.04.;01/04/2022;31/12/9999;Res Camex;272;2021
0302.1;- Salmon°deos, exceto subprodutos comest°veis de peixes das subposiá‰es 0302.91 a 0302.99:;01/04/2022;31/12/9999;Res Camex;272;2021
0302.11.00;-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster);01/04/2022;31/12/9999;Res Camex;272;2021
